open,high,low,close,volume,timestamp
203,209,179,200,430,04/01/2022 0:02:00
205,209,179,180,457,04/01/2022 0:04:00
180,210,179,207,450,04/01/2022 0:06:00
207,210,180,209,485,04/01/2022 0:08:00
189,210,179,187,490,04/01/2022 0:10:00
187,210,179,205,458,04/01/2022 0:12:00
204,211,179,210,435,04/01/2022 0:14:00
211,211,180,211,474,04/01/2022 0:16:00
211,212,181,195,473,04/01/2022 0:18:00
210,212,181,182,473,04/01/2022 0:20:00
182,212,181,181,446,04/01/2022 0:22:00
181,211,181,209,464,04/01/2022 0:24:00
211,212,181,206,475,04/01/2022 0:26:00
192,213,182,212,476,04/01/2022 0:28:00
183,213,183,209,439,04/01/2022 0:30:00
210,214,183,212,463,04/01/2022 0:32:00
212,214,183,213,444,04/01/2022 0:34:00
211,215,184,213,445,04/01/2022 0:36:00
213,215,184,185,480,04/01/2022 0:38:00
185,216,185,201,479,04/01/2022 0:40:00
216,217,186,216,489,04/01/2022 0:42:00
216,217,186,201,462,04/01/2022 0:44:00
216,216,186,206,455,04/01/2022 0:46:00
215,216,185,204,446,04/01/2022 0:48:00
188,216,186,186,493,04/01/2022 0:50:00
186,217,186,186,457,04/01/2022 0:52:00
192,217,186,187,466,04/01/2022 0:54:00
187,217,187,190,432,04/01/2022 0:56:00
192,217,187,216,506,04/01/2022 0:58:00
216,218,187,207,468,04/01/2022 1:00:00
217,217,186,196,466,04/01/2022 1:02:00
194,218,187,216,473,04/01/2022 1:04:00
218,219,188,188,480,04/01/2022 1:06:00
188,219,188,217,450,04/01/2022 1:08:00
190,218,186,203,468,04/01/2022 1:10:00
204,217,187,217,474,04/01/2022 1:12:00
217,217,187,217,493,04/01/2022 1:14:00
217,218,187,188,469,04/01/2022 1:16:00
188,219,188,188,484,04/01/2022 1:18:00
188,218,188,188,463,04/01/2022 1:20:00
188,219,188,188,490,04/01/2022 1:22:00
204,219,188,218,459,04/01/2022 1:24:00
218,219,188,191,465,04/01/2022 1:26:00
206,219,188,214,491,04/01/2022 1:28:00
216,218,188,188,451,04/01/2022 1:30:00
188,218,188,209,457,04/01/2022 1:32:00
218,218,188,188,468,04/01/2022 1:34:00
218,218,187,188,472,04/01/2022 1:36:00
188,220,188,190,459,04/01/2022 1:38:00
211,221,190,221,504,04/01/2022 1:40:00
220,221,189,219,451,04/01/2022 1:42:00
219,219,189,189,473,04/01/2022 1:44:00
189,219,189,218,447,04/01/2022 1:46:00
219,220,189,219,470,04/01/2022 1:48:00
220,221,190,218,496,04/01/2022 1:50:00
214,220,190,212,451,04/01/2022 1:52:00
219,220,190,199,460,04/01/2022 1:54:00
190,220,190,193,499,04/01/2022 1:56:00
206,220,189,209,431,04/01/2022 1:58:00
219,220,189,189,478,04/01/2022 2:00:00
189,219,189,190,468,04/01/2022 2:02:00
198,221,190,191,479,04/01/2022 2:04:00
218,222,192,192,454,04/01/2022 2:06:00
219,224,192,224,484,04/01/2022 2:08:00
222,225,194,215,477,04/01/2022 2:10:00
223,224,193,195,481,04/01/2022 2:12:00
221,224,193,224,448,04/01/2022 2:14:00
224,225,194,206,476,04/01/2022 2:16:00
215,226,195,225,433,04/01/2022 2:18:00
225,226,195,226,474,04/01/2022 2:20:00
226,226,195,225,435,04/01/2022 2:22:00
225,225,194,224,455,04/01/2022 2:24:00
224,225,194,224,468,04/01/2022 2:26:00
225,225,195,224,476,04/01/2022 2:28:00
225,225,195,224,458,04/01/2022 2:30:00
224,225,194,219,447,04/01/2022 2:32:00
218,226,195,217,473,04/01/2022 2:34:00
221,227,196,210,473,04/01/2022 2:36:00
214,227,196,227,468,04/01/2022 2:38:00
227,227,196,225,448,04/01/2022 2:40:00
225,225,195,195,442,04/01/2022 2:42:00
195,225,195,195,469,04/01/2022 2:44:00
195,226,195,221,470,04/01/2022 2:46:00
225,225,195,218,460,04/01/2022 2:48:00
218,225,194,196,441,04/01/2022 2:50:00
196,226,196,196,461,04/01/2022 2:52:00
196,227,196,226,469,04/01/2022 2:54:00
226,227,197,220,411,04/01/2022 2:56:00
222,228,197,226,463,04/01/2022 2:58:00
221,227,196,227,477,04/01/2022 3:00:00
227,227,196,226,458,04/01/2022 3:02:00
226,227,196,219,423,04/01/2022 3:04:00
223,227,196,225,458,04/01/2022 3:06:00
225,227,195,196,452,04/01/2022 3:08:00
222,226,195,225,473,04/01/2022 3:10:00
225,225,195,203,472,04/01/2022 3:12:00
219,225,195,224,464,04/01/2022 3:14:00
224,227,196,226,476,04/01/2022 3:16:00
226,227,197,226,453,04/01/2022 3:18:00
226,227,196,224,470,04/01/2022 3:20:00
196,227,196,221,442,04/01/2022 3:22:00
222,227,196,221,462,04/01/2022 3:24:00
226,227,196,221,497,04/01/2022 3:26:00
227,227,197,197,458,04/01/2022 3:28:00
197,227,197,227,469,04/01/2022 3:30:00
226,227,197,226,458,04/01/2022 3:32:00
225,227,196,201,438,04/01/2022 3:34:00
226,228,197,217,447,04/01/2022 3:36:00
227,227,196,221,444,04/01/2022 3:38:00
226,226,195,221,459,04/01/2022 3:40:00
