open,high,low,close,volume,timestamp
263,268,253,260,233,04/01/2022 00:02
260,265,252,258,246,04/01/2022 00:04
257,263,251,261,261,04/01/2022 00:06
261,267,251,260,251,04/01/2022 00:08
261,266,251,253,259,04/01/2022 00:10
256,265,251,264,226,04/01/2022 00:12
262,265,253,259,206,04/01/2022 00:14
255,264,251,255,254,04/01/2022 00:16
255,261,249,258,245,04/01/2022 00:18
260,265,249,263,226,04/01/2022 00:20
261,266,246,248,225,04/01/2022 00:22
248,264,246,258,270,04/01/2022 00:24
256,261,245,253,292,04/01/2022 00:26
246,258,245,255,245,04/01/2022 00:28
249,260,245,247,253,04/01/2022 00:30
246,256,244,249,253,04/01/2022 00:32
250,254,243,246,235,04/01/2022 00:34
247,256,244,248,279,04/01/2022 00:36
247,259,243,246,247,04/01/2022 00:38
246,254,242,249,261,04/01/2022 00:40
250,256,244,248,295,04/01/2022 00:42
247,257,242,251,241,04/01/2022 00:44
251,253,242,250,247,04/01/2022 00:46
251,259,245,250,264,04/01/2022 00:48
249,260,249,253,230,04/01/2022 00:50
253,259,246,247,280,04/01/2022 00:52
247,263,246,255,253,04/01/2022 00:54
255,262,247,252,257,04/01/2022 00:56
253,260,248,250,237,04/01/2022 00:58
251,263,246,252,243,04/01/2022 01:00
252,259,247,254,242,04/01/2022 01:02
256,262,245,248,255,04/01/2022 01:04
249,261,246,251,255,04/01/2022 01:06
245,255,244,251,262,04/01/2022 01:08
245,259,244,247,275,04/01/2022 01:10
248,257,244,251,248,04/01/2022 01:12
253,254,244,246,243,04/01/2022 01:14
246,259,243,251,261,04/01/2022 01:16
250,261,245,255,270,04/01/2022 01:18
254,258,242,251,243,04/01/2022 01:20
243,259,243,249,269,04/01/2022 01:22
247,257,245,253,243,04/01/2022 01:24
250,256,244,251,254,04/01/2022 01:26
246,256,243,251,252,04/01/2022 01:28
248,261,246,253,208,04/01/2022 01:30
253,258,243,247,234,04/01/2022 01:32
246,251,240,246,213,04/01/2022 01:34
246,256,240,243,259,04/01/2022 01:36
244,252,238,245,267,04/01/2022 01:38
245,253,239,245,248,04/01/2022 01:40
246,252,240,244,281,04/01/2022 01:42
243,252,239,247,255,04/01/2022 01:44
246,252,238,244,274,04/01/2022 01:46
245,253,236,246,265,04/01/2022 01:48
246,249,236,238,227,04/01/2022 01:50
238,251,236,241,267,04/01/2022 01:52
245,247,235,246,287,04/01/2022 01:54
246,250,237,243,281,04/01/2022 01:56
237,250,234,243,260,04/01/2022 01:58
247,252,238,243,232,04/01/2022 02:00
244,246,233,237,268,04/01/2022 02:02
241,246,234,246,266,04/01/2022 02:04
244,250,232,239,254,04/01/2022 02:06
238,245,232,235,246,04/01/2022 02:08
234,247,233,234,262,04/01/2022 02:10
237,249,236,248,251,04/01/2022 02:12
244,248,233,241,246,04/01/2022 02:14
241,246,231,240,259,04/01/2022 02:16
231,241,231,236,237,04/01/2022 02:18
235,246,232,241,246,04/01/2022 02:20
241,242,232,240,250,04/01/2022 02:22
238,244,232,237,263,04/01/2022 02:24
235,248,233,244,265,04/01/2022 02:26
244,248,232,234,227,04/01/2022 02:28
231,242,230,233,245,04/01/2022 02:30
234,244,231,238,255,04/01/2022 02:32
241,245,228,236,238,04/01/2022 02:34
236,240,227,238,265,04/01/2022 02:36
236,239,229,230,246,04/01/2022 02:38
234,245,229,233,276,04/01/2022 02:40
232,244,228,244,254,04/01/2022 02:42
238,243,228,234,244,04/01/2022 02:44
228,238,225,231,287,04/01/2022 02:46
232,240,224,231,243,04/01/2022 02:48
232,238,225,233,268,04/01/2022 02:50
232,239,225,230,261,04/01/2022 02:52
230,237,226,232,271,04/01/2022 02:54
230,238,226,230,265,04/01/2022 02:56
230,235,224,232,260,04/01/2022 02:58
230,236,224,235,263,04/01/2022 03:00
232,239,226,233,253,04/01/2022 03:02
233,239,225,227,227,04/01/2022 03:04
229,241,227,233,251,04/01/2022 03:06
235,239,224,228,213,04/01/2022 03:08
229,234,223,230,257,04/01/2022 03:10
224,238,223,235,319,04/01/2022 03:12
234,239,225,234,288,04/01/2022 03:14
235,238,225,231,263,04/01/2022 03:16
231,234,222,228,254,04/01/2022 03:18
228,238,223,224,255,04/01/2022 03:20
228,236,221,235,283,04/01/2022 03:22
225,234,222,231,244,04/01/2022 03:24
226,236,221,223,266,04/01/2022 03:26
222,234,218,226,266,04/01/2022 03:28
220,231,220,226,274,04/01/2022 03:30
223,234,220,226,244,04/01/2022 03:32
226,228,217,222,265,04/01/2022 03:34
224,231,215,225,266,04/01/2022 03:36
216,228,215,220,258,04/01/2022 03:38
218,232,215,224,290,04/01/2022 03:40
223,233,218,222,301,04/01/2022 03:42
223,229,216,222,293,04/01/2022 03:44
