episode: 1315/2000, episode end value: 40194
episode: 1316/2000, episode end value: 27337
episode: 1317/2000, episode end value: 74624
episode: 1318/2000, episode end value: 119735
episode: 1319/2000, episode end value: 6810
episode: 1320/2000, episode end value: 29557
episode: 1321/2000, episode end value: 12296
episode: 1322/2000, episode end value: 31339
episode: 1323/2000, episode end value: 9005
episode: 1324/2000, episode end value: 94303
episode: 1325/2000, episode end value: 70063
episode: 1326/2000, episode end value: 6402
episode: 1327/2000, episode end value: 8655
episode: 1328/2000, episode end value: 17848
episode: 1329/2000, episode end value: 6917
episode: 1330/2000, episode end value: 7458
episode: 1331/2000, episode end value: 9900
episode: 1332/2000, episode end value: 15885
episode: 1333/2000, episode end value: 34954
episode: 1334/2000, episode end value: 2699
episode: 1335/2000, episode end value: 15732
episode: 1336/2000, episode end value: 44924
episode: 1337/2000, episode end value: 8590
episode: 1338/2000, episode end value: 15277
episode: 1339/2000, episode end value: 22156
episode: 1340/2000, episode end value: 46486
episode: 1341/2000, episode end value: 24751
episode: 1342/2000, episode end value: 13744
episode: 1343/2000, episode end value: 27699
episode: 1344/2000, episode end value: 13501
episode: 1345/2000, episode end value: 14347
episode: 1346/2000, episode end value: 33668
episode: 1347/2000, episode end value: 2128
episode: 1348/2000, episode end value: 21328
episode: 1349/2000, episode end value: 20182
episode: 1350/2000, episode end value: 17881
episode: 1351/2000, episode end value: 13335
episode: 1352/2000, episode end value: 8470
episode: 1353/2000, episode end value: 8874
episode: 1354/2000, episode end value: 8746
episode: 1355/2000, episode end value: 31292
episode: 1356/2000, episode end value: 11876
episode: 1357/2000, episode end value: 18575
episode: 1358/2000, episode end value: 92297
episode: 1359/2000, episode end value: 20360
episode: 1360/2000, episode end value: 105734
episode: 1361/2000, episode end value: 155308
episode: 1362/2000, episode end value: 122275
episode: 1363/2000, episode end value: 8100
episode: 1364/2000, episode end value: 1226
episode: 1365/2000, episode end value: 8338
episode: 1366/2000, episode end value: 34758
episode: 1367/2000, episode end value: 46140
episode: 1368/2000, episode end value: 4483
episode: 1369/2000, episode end value: 155394
episode: 1370/2000, episode end value: 19416
episode: 1371/2000, episode end value: 64137
episode: 1372/2000, episode end value: 23968
episode: 1373/2000, episode end value: 17400
episode: 1374/2000, episode end value: 82023
episode: 1375/2000, episode end value: 2017
episode: 1376/2000, episode end value: 67746
episode: 1377/2000, episode end value: 2789
episode: 1378/2000, episode end value: 126559
episode: 1379/2000, episode end value: 24965
episode: 1380/2000, episode end value: 5896
episode: 1381/2000, episode end value: 12826
episode: 1382/2000, episode end value: 30066
episode: 1383/2000, episode end value: 34593
episode: 1384/2000, episode end value: 23535
episode: 1385/2000, episode end value: 42726
episode: 1386/2000, episode end value: 6911
episode: 1387/2000, episode end value: 7903
episode: 1388/2000, episode end value: 15330
episode: 1389/2000, episode end value: 160192
episode: 1390/2000, episode end value: 18519
episode: 1391/2000, episode end value: 20562
episode: 1392/2000, episode end value: 16575
episode: 1393/2000, episode end value: 11688
episode: 1394/2000, episode end value: 36486
episode: 1395/2000, episode end value: 13706
episode: 1396/2000, episode end value: 5520
episode: 1397/2000, episode end value: 10282
episode: 1398/2000, episode end value: 20189
episode: 1399/2000, episode end value: 14165
episode: 1400/2000, episode end value: 12692
episode: 1401/2000, episode end value: 16837
episode: 1402/2000, episode end value: 13498
episode: 1403/2000, episode end value: 40650
episode: 1404/2000, episode end value: 8034
episode: 1405/2000, episode end value: 5747
episode: 1406/2000, episode end value: 9851
episode: 1407/2000, episode end value: 10561
episode: 1408/2000, episode end value: 27826
episode: 1409/2000, episode end value: 117357
